route_id,route_short_name,route_desc,city_id,date
T12,T12,OS. SOBIESKIEGO - Smoleńska - Szeligowskiego - Księcia Mieszka I - Słowiańska - Winogrady - Księcia Mieszka I - Szeligowskiego - Szymanowskiego - Smoleńska - OS. SOBIESKIEGO^Ż - kurs skrócony do przystanku: Żniwna,2,2023-01-10 11:39:12.980350+00:00
1,1,"JUNIKOWO - Grunwaldzka - Reymonta - Hetmańska - Żegrze - Chartowo - Piaśnicka - Szwajcarska - FRANOWO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka|FRANOWO - Piaśnicka - Chartowo - Żegrze - Hetmańska - Reymonta - Grunwaldzka - JUNIKOWO^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka",2,2023-01-10 11:39:12.980350+00:00
2,2,DĘBIEC PKM - 28 Czerwca 1956 r. - Wierzbięcice - Matyi - Roosevelta - Zwierzyniecka - Kraszewskiego - Dąbrowskiego - OGRODY^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OGRODY - Kraszewskiego - Zwierzyniecka - Roosevelta - Matyi - Wierzbięcice - 28 Czerwca 1956 r. - DĘBIEC PKM^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych,2,2023-01-10 11:39:12.980350+00:00
3,3,"SŁOWIAŃSKA - Trasa PST - Głogowska - Roosevelta - Pułaskiego - Winogrady - Przełajowa - Naramowicka - al. Praw Kobiet - BŁAŻEJA^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Ron do Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|BŁAŻEJA - Naramowicka - Przełajowa - Winogrady - Pułaskiego - Roosevelta - Głogowska - Trasa PST - SŁOWIAŃSKA^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Ron do Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Most Dworcowy, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",2,2023-01-10 11:39:12.980350+00:00
5,5,"UNII LUBELSKIEJ - Unii Lubelskiej - Hetmańska - Zamenhofa - Krzywoustego - Królowej Jadwigi - Matyi - Głogowska - GÓRCZYN PKM^F - zjazd do zajezdni Franowo przez przystanek: Os. Czecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Żegrze, Ron do Starołęka|GÓRCZYN PKM - Matyi - Królowej Jadwigi - Krzywoustego - Zamenhofa - Hetmańska - Unii Lubelskiej - UNII LUBELSKIEJ^G - zjazd do zajezdni Głogowska^H - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^Z - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Rondo Starołęka, Os. Czecha",2,2023-01-10 11:39:12.980350+00:00
6,6,"MIŁOSTOWO - Warszawska - Jana Pawła II - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Bukowska - Grunwaldzka - JUNIKOWO^B - kurs skrócony do pętli: Budziszyńska^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Rondo Nowaka-Jeziorańskie go^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Rataje, Ron do Starołęka|JUNIKOWO - Bukowska - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Most Dworcowy, Dworzec Zachodni^H - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Nowaka-Jezi orańskiego, Głogowska/Hetmańska, Rondo Starołęka^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Rataje, Ron do Starołęka",2,2023-01-10 11:39:12.980350+00:00
7,7,"ZAWADY - Podwale - Jana Pawła II - Zamenhofa - Hetmańska - Reymonta - Przybyszewskiego - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka|OGRODY - Przybyszewskiego - Reymonta - Hetmańska - Zamenhofa - Jana Pawła II - Podwale - ZAWADY^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Rondo Starołęka",2,2023-01-10 11:39:12.980350+00:00
8,8,"GÓRCZYN PKM - Głogowska - Roosevelta - Dąbrowskiego - OGRODY^G - zjazd do zajezdni Głogowska^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka|OGRODY - Roosevelta - Głogowska - GÓRCZYN PKM^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka PKM) przez przystanek: Głogowska/Hetmańs ka, Traugutta, Rondo Starołęka",2,2023-01-10 11:39:12.980350+00:00
9,9,"DĘBIEC PKM - 28 Czerwca 1956 r. - Górna Wilda - Królowej Jadwigi - Strzelecka - Aleje Marcinkowskiego - ALEJE MARCINKOWSKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Rynek Wildecki, AWF, Rondo Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|ALEJE MARCINKOWSKIEGO - Strzelecka - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC PKM^G - zjazd do zajezdni Głogowska przez przystanek: AWF, Rynek Wildecki, Pamiątkowa^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",2,2023-01-10 11:39:12.980350+00:00
10,10,"BŁAŻEJA - al. Praw Kobiet - Naramowicka - Przełajowa - Winogrady - Pułaskiego - Roosevelta - Matyi - Wierzbięcice - 28 Czerwca 1956 r. - DĘBIEC PKM^F - zjazd do zajezdni Franowo przez przystanek: Pamiątkowa, Rondo Starołęka, Os. Cz echa^G - zjazd do zajezdni Głogowska przez przystanek: Most Dworcowy, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|DĘBIEC PKM - Wierzbięcice - Matyi - Roosevelta - Pułaskiego - Winogrady - Przełajowa - Naramowicka - al. Praw Kobiet - BŁAŻEJA^F - zjazd do zajezdni Franowo przez przystanek: Rynek Wildecki, AWF, Rondo Rataje, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",2,2023-01-10 11:39:12.980350+00:00
