route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,brigade_id,vehicle_id,variant_id
A,3,3_11499782,"SOŁTYSOWICE",1,825602,23,1,825602
A,3,3_11499882,"KOSZAROWA (Szpital)",1,826046,22,1,826046
A,3,3_11499992,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,3,3_11499994,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,3,3_11499996,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,3,3_11499998,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,3,3_11500000,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,3,3_11500002,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,3,3_11500004,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,3,3_11500010,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,3,3_11500012,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,3,3_11500014,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,3,3_11500016,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,3,3_11500018,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,3,3_11500020,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,3,3_11500023,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,3,3_11500025,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,3,3_11500027,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,3,3_11500029,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,3,3_11500031,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,3,3_11500033,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,3,3_11500035,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,3,3_11500038,"KOSZAROWA (Szpital)",1,826046,4,1,826046
A,3,3_11500040,"KOSZAROWA (Szpital)",1,826046,4,1,826046
A,3,3_11500042,"KOSZAROWA (Szpital)",1,826046,4,1,826046
A,3,3_11500044,"KOSZAROWA (Szpital)",1,826046,4,1,826046
A,3,3_11500046,"KOSZAROWA (Szpital)",1,826046,4,1,826046
A,3,3_11500048,"KOSZAROWA (Szpital)",1,826046,4,1,826046
A,3,3_11500050,"KOSZAROWA (Szpital)",1,826046,4,1,826046
A,3,3_11500054,"KOSZAROWA (Szpital)",1,826046,5,1,826046
A,3,3_11500056,"KOSZAROWA (Szpital)",1,826046,5,1,826046
A,3,3_11500058,"KOSZAROWA (Szpital)",1,826046,5,1,826046
A,3,3_11500060,"KOSZAROWA (Szpital)",1,826046,5,1,826046
A,3,3_11500062,"KOSZAROWA (Szpital)",1,826046,5,1,826046
A,3,3_11500064,"KOSZAROWA (Szpital)",1,826046,5,1,826046
A,3,3_11500066,"KOSZAROWA (Szpital)",1,826046,5,1,826046
A,3,3_11500052,"Zajezdnia Obornicka",1,826261,4,1,826261
A,3,3_11500021,"Zajezdnia Obornicka",0,826262,2,1,826262
A,3,3_11500036,"Zajezdnia Obornicka",0,826262,3,1,826262
A,3,3_11500067,"Zajezdnia Obornicka",0,826262,5,1,826262
A,3,3_11499780,"KOSZAROWA (Szpital)",1,826263,23,1,826263
A,3,3_11499831,"KOSZAROWA (Szpital)",1,826263,21,1,826263
A,3,3_11499880,"KOSZAROWA (Szpital)",1,826263,22,1,826263
A,3,3_11500008,"KOSZAROWA (Szpital)",1,826263,2,1,826263
A,3,3_11499832,"KRZYKI",0,827196,21,1,827196
A,3,3_11499991,"KRZYKI",0,827197,1,2,827197
A,3,3_11500022,"KRZYKI",0,827197,3,1,827197
A,3,3_11500037,"KRZYKI",0,827197,4,1,827197
A,3,3_11500053,"KRZYKI",0,827197,5,1,827197
A,3,3_11499781,"KRZYKI",0,827211,23,1,827211
A,3,3_11499881,"KRZYKI",0,827211,22,1,827211
A,3,3_11499993,"KRZYKI",0,827211,1,2,827211
A,3,3_11499995,"KRZYKI",0,827211,1,2,827211
A,3,3_11499997,"KRZYKI",0,827211,1,2,827211
A,3,3_11499999,"KRZYKI",0,827211,1,2,827211
A,3,3_11500001,"KRZYKI",0,827211,1,2,827211
A,3,3_11500003,"KRZYKI",0,827211,1,2,827211
A,3,3_11500005,"KRZYKI",0,827211,1,2,827211
A,3,3_11500009,"KRZYKI",0,827211,2,1,827211
A,3,3_11500011,"KRZYKI",0,827211,2,1,827211
A,3,3_11500013,"KRZYKI",0,827211,2,1,827211
A,3,3_11500015,"KRZYKI",0,827211,2,1,827211
A,3,3_11500017,"KRZYKI",0,827211,2,1,827211
A,3,3_11500019,"KRZYKI",0,827211,2,1,827211
A,3,3_11500024,"KRZYKI",0,827211,3,1,827211
A,3,3_11500026,"KRZYKI",0,827211,3,1,827211
A,3,3_11500028,"KRZYKI",0,827211,3,1,827211
A,3,3_11500030,"KRZYKI",0,827211,3,1,827211
A,3,3_11500032,"KRZYKI",0,827211,3,1,827211
A,3,3_11500034,"KRZYKI",0,827211,3,1,827211
A,3,3_11500039,"KRZYKI",0,827211,4,1,827211
A,3,3_11500041,"KRZYKI",0,827211,4,1,827211
A,3,3_11500043,"KRZYKI",0,827211,4,1,827211
A,3,3_11500045,"KRZYKI",0,827211,4,1,827211
A,3,3_11500047,"KRZYKI",0,827211,4,1,827211
A,3,3_11500049,"KRZYKI",0,827211,4,1,827211
A,3,3_11500051,"KRZYKI",0,827211,4,1,827211
A,3,3_11500055,"KRZYKI",0,827211,5,1,827211
A,3,3_11500057,"KRZYKI",0,827211,5,1,827211
A,3,3_11500059,"KRZYKI",0,827211,5,1,827211
A,3,3_11500061,"KRZYKI",0,827211,5,1,827211
A,3,3_11500063,"KRZYKI",0,827211,5,1,827211
A,3,3_11500065,"KRZYKI",0,827211,5,1,827211
A,4,4_11502735,"SOŁTYSOWICE",1,825602,23,1,825602
A,4,4_11502822,"KOSZAROWA (Szpital)",1,826046,22,1,826046
A,4,4_11502937,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,4,4_11502939,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,4,4_11502941,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,4,4_11502943,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,4,4_11502945,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,4,4_11502947,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,4,4_11502949,"KOSZAROWA (Szpital)",1,826046,1,2,826046
A,4,4_11502955,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,4,4_11502957,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,4,4_11502959,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,4,4_11502961,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,4,4_11502963,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,4,4_11502965,"KOSZAROWA (Szpital)",1,826046,2,1,826046
A,4,4_11502968,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,4,4_11502970,"KOSZAROWA (Szpital)",1,826046,3,1,826046
A,4,4_11502972,"KOSZAROWA (Szpital)",1,826046,3,1,826046
