variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
774946,0,,,
797647,0,826016,,
797823,0,826017,,
802437,0,826016,,
805419,0,,,
805422,0,,,
805593,0,826017,,
805669,1,,,
805671,0,,,
806431,1,,,
806432,1,,,
806466,1,,,
807472,0,826017,,
809315,0,826017,,
809416,0,826016,,
809456,0,826017,,
809478,0,826017,,
809492,0,826016,,
809494,0,826017,,
809536,0,826017,,
809723,0,,,
809829,0,826016,,
809910,1,,,
809911,1,,,
810558,0,826016,,
811372,0,826016,,
811821,0,826017,,
812236,0,826016,,
812503,1,,,
812505,1,,,
812512,0,,,
812516,0,,,
812540,0,,,
812541,0,,,
813989,1,,,
813990,1,,,
813999,0,,,
814095,0,826017,,
815232,1,,,
815233,0,,,
815449,0,,,
816354,0,826016,,
816367,0,,,
816368,0,,,
816369,0,,,
816469,1,,,
816779,0,826017,,
816781,0,826016,,
816825,0,826017,,
817023,0,826017,,
817269,0,826016,,
817432,0,,,
817616,0,826017,,
817625,0,,,
817724,1,,,
817725,1,,,
817726,0,,,
817727,0,,,
817735,0,,,
817963,1,,,
817968,0,,,
818476,0,826017,,
818948,0,826016,,
818967,0,,,
819028,0,,,
819040,0,826016,,
819095,0,,,
819128,0,826017,,
819281,0,826017,,
819321,0,826016,,
819324,0,826016,,
819332,0,826016,,
819339,0,826016,,
819353,0,826017,,
819376,0,826016,,
819383,0,826017,,
819401,0,826017,,
819404,0,826016,,
819411,0,826017,,
819430,0,826016,,
819449,0,826016,,
819450,0,826017,,
819453,0,826017,,
819454,0,826016,,
819459,0,826016,,
819789,0,,,
819793,0,,,
819795,0,,,
820343,0,,,
820433,0,826017,,
820434,0,826016,,
820435,0,826016,,
820563,0,826017,,
820680,0,,,
820836,1,,,
821143,1,,,
821177,1,,,
821210,0,826016,,
821211,0,826016,,
821214,0,826017,,
821224,0,826016,,
821228,0,826017,,
821251,0,826017,,
821365,0,,,
821409,0,,,
821437,0,826017,,
821775,0,826017,,
821856,1,,,
822074,1,,,
822075,1,,,
822076,1,,,
822077,1,,,
822084,0,,,
822085,0,,,
822196,1,,,
822234,0,826016,,
822402,1,,,
822403,0,826016,,
822404,0,826017,,
822407,0,826017,,
822569,0,,,
822570,0,,,
822579,1,,,
822584,0,,,
822586,0,,,
822618,0,826016,,
823330,0,,,
823332,0,,,
823334,0,826016,,
823335,0,826017,,
823403,0,,,
823487,0,826016,,
823499,0,826016,,
823531,0,,,
823533,1,,,
823535,0,,,
823537,0,,,
823616,0,826016,,
823623,0,826016,,
823668,1,,,
823672,1,,,
823676,0,,,
823679,0,,,
823699,1,,,
823721,0,826016,,
823731,1,,,
823733,0,826017,,
823734,0,826016,,
823809,0,,,
823816,1,,,
823818,1,,,
823827,0,,,
823830,0,,,
823835,0,826016,,
823841,0,,,
824127,0,826016,,
824156,0,826016,,
824369,0,,,
824703,1,,,
824704,1,,,
824705,0,,,
824706,0,,,
824746,0,826017,,
824747,0,826016,,
824758,0,,,
824782,0,,,
824950,0,,,
825003,0,826017,,
825174,1,,,
825198,0,,,
825515,1,,,
825533,0,826017,,
825546,0,826017,,
825551,0,,,
825566,0,826016,,
825567,0,826016,,
825602,0,,,
825608,0,,,
825610,0,,,
825621,0,826016,,
825622,0,826016,,
825625,0,,,
825635,1,,,
825636,1,,,
825648,0,,,
825649,0,,,
825685,0,826017,,
825724,0,826016,,
825841,0,,,
825842,0,,,
826014,1,,,
826015,1,,,
826016,1,,,
826017,1,,,
826018,1,,,
826025,0,,,
826027,0,,,
826045,1,,,
826046,1,,,
826064,0,,,
826068,0,,,
826077,0,826016,,
826079,0,826017,,
826080,0,,,
826096,0,,,
826114,0,826016,,
826128,0,826016,,
826134,0,,,
826135,0,,,
826137,0,,,
826138,0,826016,,
826139,0,,,
826140,0,826017,,
826143,0,,,
826155,0,,,
826158,1,,,
826162,0,,,
826167,0,,,
826168,0,,,
826170,0,,,
826193,1,,,
826196,1,,,
826203,1,,,
826204,1,,,
826209,1,,,
826210,1,,,
826212,1,,,
826215,1,,,
826226,1,,,
826234,1,,,
826236,1,,,
826237,1,,,
826238,1,,,
826239,1,,,
826246,1,,,
826249,1,,,
826250,1,,,
826261,0,826016,,
826262,0,826017,,
826263,0,826016,,
826266,0,,,
826268,0,,,
826273,0,826017,,
826276,0,826016,,
826277,0,826016,,
826280,0,826017,,
826281,0,826017,,
826282,0,,,
826283,0,826017,,
826284,0,,,
826285,0,826016,,
826292,0,,,
826294,0,826017,,
826295,0,826017,,
826297,0,,,
826299,0,,,
826300,0,826016,,
826302,0,826017,,
826303,0,826017,,
826306,0,,,
826308,0,826016,,
826309,0,826017,,
826312,0,826016,,
826315,0,,,
826319,0,,,
826325,0,,,
826326,0,,,
826328,0,,,
826329,0,,,
826331,0,826017,,
826332,0,826017,,
826333,0,826017,,
826334,0,826016,,
826342,0,,,
826353,0,,,
826357,0,,,
826360,0,826016,,
826364,0,826016,,
826366,0,826017,,
826367,0,826017,,
826374,0,,,
826375,0,,,
826384,0,826017,,
826386,0,826016,,
826387,0,826016,,
826388,0,826017,,
826389,0,826017,,
826397,0,826016,,
826411,0,826016,,
826415,0,826016,,
826421,0,,,
826431,0,,,
826433,0,,,
826435,0,,,
826439,0,826017,,
826444,0,826016,,
826446,0,826016,,
826448,0,826017,,
826449,0,826016,,
826450,0,826016,,
826451,0,826017,,
826477,0,,,
826478,0,826016,,
826480,0,,,
826482,0,,,
826483,0,826017,,
826485,0,,,
826494,0,,,
826495,0,,,
826496,0,826017,,
826498,0,,,
826514,0,826017,,
826516,0,826017,,
826521,0,,,
826522,0,826016,,
826523,0,826016,,
826535,0,826016,,
826536,0,826016,,
826537,0,826017,,
826541,0,826016,,
826545,0,826017,,
826550,0,826016,,
826551,0,826016,,
826577,1,,,
826578,0,826016,,
826579,1,,,
826581,0,,,
826582,0,,,
826583,0,,,
826584,0,,,
826585,0,,,
826586,0,,,
826588,0,,,
826589,0,,,
826590,0,,,
826591,0,,,
826592,0,,,
826593,0,826016,,
826594,0,826016,,
826596,0,826016,,
826597,0,826016,,
826598,0,826016,,
826613,1,,,
826614,0,,,
826615,1,,,
826616,1,,,
826617,1,,,
826618,1,,,
826620,0,,,
826622,0,,,
826623,0,,,
826657,0,826016,,
826658,0,826017,,
826660,0,826017,,
826678,1,,,
826679,1,,,
826682,0,,,
826683,0,826016,,
826686,0,,,
826687,0,,,
826690,0,,,
826805,0,826017,,
826807,1,,,
826808,1,,,
826849,0,826017,,
826877,0,826016,,
826879,0,826016,,
826885,0,826016,,
826889,0,826017,,
826890,0,826016,,
826894,0,826016,,
826907,0,826017,,
826923,0,826016,,
826925,0,826016,,
826956,1,,,
826960,0,,,
826998,0,,,
827013,0,826017,,
827040,0,,,
827049,1,,,
827053,0,,,
827055,0,,,
827066,1,,,
827067,1,,,
827069,0,,,
827070,0,,,
827072,0,,,
827076,0,,,
827082,1,,,
